"ID","medMz","medRt","Formula","Metabolite","_log10_FDR","high_blank","nega-Ecoli-12C14N-a","nega-Ecoli-12C14N-b","nega-Ecoli-12C14N-c","nega-Yeast-12C14N-a","nega-Yeast-12C14N-b","nega-Yeast-12C14N-c"
160,314.0783,2.43152,"C18H18ClNS","Chlorprothixene",0,NA,6054869.37564876,7309975.50996423,8397273.12907749,168294.935085515,821555.951315271,2737083.87932442
161,135.9451,2.038117,NA,NA,3.58113548579227,NA,7822737.61975467,7362049.90948826,8378384.56226596,354839.535627201,452781.155949684,368481.338971911
162,178.9632,13.77896,NA,NA,1.83100192272101,NA,5121261.7983703,5183158.86873585,4649824.905851,7198907.42043442,7437818.98848267,6073459.97439244
163,239.1291,2.13682,"C14H16N4","Imiquimod",3.49467362537489,NA,3498716.67125155,3424780.94141133,3670686.27544163,6763111.54054036,7256225.59489949,7089727.79375527
164,616.1796,2.312428,NA,NA,0,NA,7234310.41944389,7033469.47359456,7803333.6241939,6679436.12193031,6754902.15735827,5592202.82157317
165,341.2697,2.168339,NA,NA,3.49171274561968,NA,369434.064202121,447157.062415129,485343.319690103,6086209.20457384,6822898.4426034,6246766.73696657
166,145.0142,12.78894,"C5H6O5","Oxoglutaric acid",3.03428102975578,NA,2750191.66828604,2868421.13343409,2929312.24401672,6946864.38512908,7088823.03661086,6163431.95440131
167,259.0224,14.04572,"C6H13O9P","Fructose 6-phosphate",1.85486577363851,NA,7722155.72477568,7323368.67384762,7560543.30142619,4262394.88185166,3379218.57518984,3153575.8044789
168,935.2374,2.260998,NA,NA,0,NA,7135333.34393173,6557415.29855531,7375121.12814037,5565871.83124473,5521013.52793438,5172081.84813904
169,297.2436,2.352981,"C18H34O3","3-Oxooctadecanoic acid",2.79174680692732,NA,7532144.21934305,6999098.50264601,7240286.36589871,3529108.02253157,4024241.33751452,3849111.27593908
170,366.1088,11.67073,NA,NA,2.06821678461414,NA,5983599.1009728,5868015.24738188,6002001.65115009,6824785.98788011,6498551.58429533,6572084.78492116
171,338.2705,2.494228,"C20H37NO3","Oleoyl glycine",2.99110188522906,NA,7196747.95776679,7063728.02077808,7447273.94652965,2166074.12151627,1987055.37720497,1811391.42155623
172,599.4319,2.226573,NA,NA,1.76700388960785,NA,4860606.31611948,4221155.137906,4529259.60935111,6423709.40713802,5833024.10179697,5592843.18461098
173,174.9373,13.76785,NA,NA,1.94780641956653,NA,1981773.72826696,1865836.6717705,2371684.03665273,3438750.09266166,3122439.57740543,3219770.65722355
174,343.2279,3.998211,"C22H32O3","Medroxyprogesterone",0,NA,7133662.48251153,6974299.47587703,7061208.39331461,5794345.80385651,6328286.99236513,6332715.52427282
175,808.2166,2.285931,NA,NA,0,NA,6728906.76011008,6520416.82226068,6786397.91681313,5695039.07001287,5589209.35346073,5327410.7590452
176,295.1707,2.497358,"C20H24O2","17a-Ethynylestradiol",0,NA,14552.8727601974,22168.1092226358,34463.568454598,42658.1244363357,39988.6157439156,48380.118476023
177,281.9788,13.36253,NA,NA,2.35393953144436,NA,6982934.93234045,7143026.66562658,7198830.79246956,2899087.23251611,2857083.28194402,2223200.32704817
178,221.1549,2.433097,"C14H22O2","Rishitin",2.54152834761577,NA,1919604.03476506,1834870.12081986,1880873.80199539,6260229.19947721,5325491.44021041,4609779.84319215
179,206.1632,2.406356,NA,NA,1.96297212024422,NA,4960332.96780236,4166366.53869704,4804292.78657578,5941797.90429343,6270723.53378472,6056068.95997645
182,281.143,2.016056,NA,NA,0,NA,6848834.54462891,7042772.44303058,7387687.65352613,5158778.51041884,5825019.01522055,5778608.80373539
183,404.2653,2.640797,NA,NA,1.98543746187239,NA,358.827946631114,22.2293176487818,3155.01333317925,5601171.05715177,6094824.86332567,5807504.94251768
184,116.9285,12.86037,NA,NA,0,NA,5280487.84724058,4696014.48712162,4664640.59774469,5109412.24539385,5315365.7490766,4918056.25413284
185,292.2286,2.538053,NA,NA,3.93438294427313,NA,903831.902183104,920881.604964787,890680.019615782,6170914.75623566,5855051.78382298,5850090.05772837
186,91.02206,2.431528,"C3H8OS","Cibulins",0,NA,4567438.38022575,5772891.55129921,7098090.29218968,210418.220164337,769282.070837004,2244125.98972151
187,118.9419,13.79162,NA,NA,1.99658255479781,NA,4846017.64862056,4926216.85482888,4652546.06493647,6203806.52304766,6005221.49566693,5507811.14803668
188,85.02933,11.64088,"C4H6O2","Gamma-Butyrolactone",2.64932565176672,NA,1913684.47434487,1846297.10155722,2040246.63844957,3571302.46309712,3240984.11095164,3436080.03613788
