"id","formula","degree","parent","score","parent_formula"
126,"C6H15N",6,513,0.99659928866526,"C7H15NO2"
127,"C4H6OS",4,231,0.9976842802768,"C4H6O2S"
128,"C4H6O3",2,49,0.99887456744359,"C4H4O2"
128,"C5H10O-2S2 Illegal_formula",6,520,0,"C6H10S2"
129,"C3H6N2O2",3,62,0.998297453716393,"C3H5NO2"
130,"C5H10S",5,522,0.997142197102201,"C6H10O2S"
130,"C4H6O5S-1 Illegal_formula",4,384,0,"C4H6O5"
131,"C5H10O2",3,15,0.998308071702963,"C3H6O2"
131,"C6H14O-3S2 Illegal_formula",9,1007,0,"C6H14S3"
132,"C6H14O",5,529,0.997165411961998,"C7H14O3"
132,"C6H14O",6,240,0.996606955646987,"C6H14O2"
133,"C5H14N2",7,530,0.996039903792604,"C6H14N2O2"
133,"C13H10O-2S-1 Illegal_formula",12,1011,0,"C13H10O"
133,"C13H10O-2S-1 Illegal_formula",10,1011,0,"C13H10O"
134,"C3H5NO3",2,65,0.998864555183673,"C3H4O3"
134,"C3H5NO3",3,62,0.998299230092023,"C3H5NO2"
134,"C4H9NO-2S2 Illegal_formula",7,534,0,"C5H9NS2"
135,"C4H9NS",5,536,0.997117481401488,"C5H9NO2S"
135,"C5H13NO-5S3 Illegal_formula",14,5090,0,"C16H30N2O4S3"
135,"C12H5N-1O-2 Illegal_formula",19,5090,0,"C23H22O7"
135,"C12H5N-1O-2 Illegal_formula",14,5090,0,"C23H22O7"
135,"C12H5N-1O-2 Illegal_formula",13,5090,0,"C23H22O7"
135,"C12H5N-1O-2 Illegal_formula",11,5090,0,"C23H22O7"
136,"C4H9NO2",4,67,0.997733049987308,"C4H8O2"
137,"C5H13NO",6,513,0.996607539844518,"C7H15NO2"
137,"C5H11NO3P-2S Illegal_formula",13,6192,0,"C14H24N4O13S"
137,"C6H17NO-4S2 Illegal_formula",15,5097,0,"C17H34N2O5S2"
138,"C4H13N3",7,70,0.996032899341964,"C4H12N2"
138,"C9H16N-5O5P-1 Illegal_formula",8,5448,0,"C19H28O11"
138,"C9H16N-5O5P-1 Illegal_formula",6,5448,0,"C19H28O11"
139,"C3H4O4",2,65,0.99886632818236,"C3H4O3"
139,"C4H8O-1S2 Illegal_formula",6,248,0,"C4H8S2"
140,"C4H8OS",4,544,0.997683911099652,"C5H8O3S"
140,"C4H8OS",5,249,0.997125160030372,"C4H8O2S"
140,"C3H4O6S-1 Illegal_formula",5,406,0,"C3H4O6"
141,"C4H8O3",3,58,0.998299822801862,"C4H6O2"
141,"C5H12O-2S2 Illegal_formula",7,546,0,"C6H12S2"
142,"C3H8N2O2",4,72,0.997737772711437,"C3H7NO2"
143,"C8H8",5,266,0.997158884409421,"C8H10O"
143,"C8H8",6,154,0.99649959465879,"C8H10"
143,"C8H8",7,2427,0.996044664910828,"C14H18O5"
144,"C5H12S",6,549,0.99655374405574,"C6H12O2S"
144,"C4H8O5S-1 Illegal_formula",5,408,0,"C4H8O5"
144,"C5H4N4OS-1 Illegal_formula",12,410,0,"C5H4N4O"
144,"C5H4N4OS-1 Illegal_formula",9,410,0,"C5H4N4O"
145,"C3H7NO3",3,62,0.998304543462178,"C3H5NO2"
145,"C4H11NO-2S2 Illegal_formula",8,556,0,"C5H11NS2"
146,"C2H7N3O2",6,557,0.996601568786919,"C3H7N3O4"
147,"C4H11NO2",5,80,0.997173677748227,"C4H10O2"
148,"C2H3O3P",11,74,0.767208610578062,"C2H3O2P"
148,"C2H3O3P",6,2449,5.87310450974055e-07,"C8H13O8P"
148,"C5H2N2O-3S2 Illegal_formula",13,2449,0,"C11H12N2O2S2"
148,"C5H2N2O-3S2 Illegal_formula",11,2449,0,"C11H12N2O2S2"
149,"C3H6O2S",3,15,0.998252203738691,"C3H6O2"
150,"C3H6O4",2,65,0.998871631418952,"C3H4O3"
150,"C4H2N4",9,1062,0.00016457658520984,"C4H3N4O3P"
150,"C4H2N4",12,1062,0.000164292239998512,"C4H3N4O3P"
150,"C4H10O-1S2 Illegal_formula",7,261,0,"C4H10S2"
150,"C2H5N2O3P-1S Illegal_formula",12,1062,0,"C2H6N2O6S"
151,"C7H6O",4,163,0.997750711437046,"C7H8O"
151,"C-1H10N2O3S Illegal_formula",16,3988,0,"C15H40N2O4S"
152,"C4H10OS",5,572,0.997139261068059,"C5H10O3S"
152,"C4H10OS",6,263,0.996580981229331,"C4H10O2S"
152,"C6H7N2O-2P Illegal_formula",17,2461,0,"C12H17N2O3P"
152,"C6H7N2O-2P Illegal_formula",12,2461,0,"C12H17N2O3P"
152,"C6H7N2O-2P Illegal_formula",11,2461,0,"C12H17N2O3P"
153,"C4H10O3",4,67,0.997740126966788,"C4H8O2"
153,"C5H14O-2S2 Illegal_formula",8,575,0,"C6H14S2"
154,"C8H10",5,86,0.997073353923241,"C7H8"
154,"C8H10",7,2465,0.996064563644643,"C14H20O5"
158,"C3H9NO3",4,72,0.997744823450263,"C3H7NO2"
159,"C7H9N",5,86,0.997078068783956,"C7H8"
159,"C7H9N",8,33,0.995484994033448,"C5H5N"
159,"C-1H13N3O2S Illegal_formula",18,3998,0,"C15H43N3O3S"
160,"C3H8S2",6,594,0.99652760920296,"C4H8O2S2"
160,"C3N4O",9,410,0.142602397089668,"C5H4N4O"
160,"C3N4O",12,410,0.142357382331933,"C5H4N4O"
160,"C2H4O5",4,261,0.00114808152961403,"C3H6O5"
161,"C6H4O2",3,298,0.998311596740889,"C6H6O3"
161,"C-2H8N2O4S Illegal_formula",16,4018,0,"C14H38N2O5S"
162,"C3H8O4",3,77,0.99829686290815,"C3H6O3"
162,"C4H12O-1S2 Illegal_formula",8,575,0,"C6H14S2"
