"ID","medMz","medRt","Formula","Metabolite","_log10_FDR","high_blank","nega-Ecoli-12C14N-a","nega-Ecoli-12C14N-b","nega-Ecoli-12C14N-c","nega-Yeast-12C14N-a","nega-Yeast-12C14N-b","nega-Yeast-12C14N-c"
120,228.205,2.342047,NA,NA,1.60575851252236,NA,9052590.6879538,8712709.91862354,9815689.48998118,10226283.417144,10742935.7370772,9784533.03718136
121,233.1548,2.374911,"C15H22O2","Valerenic acid",2.40861257605786,NA,6081640.58214558,5324066.06744795,6104452.84753256,10412603.9637469,9783489.33288111,9485791.84225335
122,267.1438,1.929953,NA,NA,1.34216999495819,NA,11730217.6592779,12161103.9527073,12053826.2183244,9967424.33481282,9679135.63462946,9544588.92895083
123,747.5182,3.928622,"C40H77O10P","PG(16:0/18:1(11Z))",2.12117384546482,NA,6254787.17408654,6093043.74140638,5007402.49391716,49.5989987885341,1851.61643318126,1479.28851864258
124,744.2046,2.290606,NA,NA,0,NA,8563730.53793859,9348052.71513866,10459603.7019292,7699426.17843991,8012483.26076236,7920352.56371854
125,147.0298,13.21972,"C5H8O5","Citramalic acid",1.85930344745359,NA,359509.389519947,424389.128399717,1368421.71049094,6248771.83075706,9364516.36503137,10249704.4294345
126,745.5024,3.922328,"C40H75O10P","PG(16:0/18:2(9Z,12Z))",3.54882784248746,NA,4242441.52490645,4084931.6564225,3664062.86786307,1173.20708672879,588.839457356111,1070.70454414605
127,224.9828,3.380347,NA,NA,0,NA,13042.4272447249,13274.5815883936,10613.9164677224,9686.68446340072,9647.59653253147,10676.8355810073
128,241.0567,2.498925,NA,NA,0,NA,7259214.84005884,9411425.16535769,11236924.5107845,224162.67502478,1110025.95612745,3365481.81940919
129,170.1187,2.687067,"C9H17NO2","Gabapentin",3.95066566402772,NA,260434.902126573,291046.788776676,278783.523881194,9508334.09437235,8973285.36510444,8308358.14295541
130,241.21755,2.328845,"C15H30O2","Pentadecanoic acid",2.40038981168138,NA,9534988.63283197,9668743.96619882,10861849.9584358,5662895.1034903,5818117.26902271,5812656.04145578
131,390.9009,13.93238,NA,NA,4.39543917227377,NA,9889594.29724445,10510069.177377,10214678.3329246,1780.79482188833,1531.76510003268,1452.9597183767
132,551.1639,2.331142,NA,NA,0,NA,8713736.02941952,8265638.32793477,8675307.78022828,8913015.43462467,8564847.92847594,6726089.88534694
133,308.2234,2.599353,NA,NA,3.97424368546559,NA,159807.328129835,157196.953831713,142297.673989221,9307953.18543977,9004223.89008148,8021184.06761088
134,298.9431,1.856444,NA,NA,1.5444090994002,NA,7364452.69275026,7705395.05816429,7663455.41074822,9114785.11552332,8103735.77015716,8410630.90487712
135,200.9451,13.79801,NA,NA,2.15811518838377,NA,5106588.37703122,5219726.0962681,4403965.52336555,9117245.98892475,8345687.16439661,7679953.06475748
136,209.1547,4.01082,"C13H22O2","Linalyl propionate",0,NA,7733477.51698134,8125011.21862505,7377368.07872072,8184731.39739392,8133345.98286992,7515339.55465066
137,211.1341,2.47387,"C12H20O3","Cucurbic acid",2.31335479472919,NA,6521482.19297284,5956728.00825463,6740384.18032306,8769835.52487187,8597252.68326456,8673725.82966736
138,341.2892,2.478572,NA,NA,2.35145459948916,NA,9647518.6178744,8850469.44595657,8877925.55164379,5443770.54215016,5302321.29226049,4992502.21148441
139,187.117,2.489525,NA,NA,4.13614798007051,NA,125755.546623843,126423.909091211,140180.798358642,8687309.46767604,8508787.86897519,7833762.01534779
140,313.25795,2.487936,NA,NA,3.34416072617457,NA,70752.7148944149,112512.690960015,120043.223958737,8476207.54438994,8388196.0912691,8286091.77905647
141,297.0473,2.536517,NA,NA,0,NA,5852743.57457006,7867895.81604041,9490651.69066958,164911.997220067,811154.425086824,3027116.75522177
142,265.075,4.018698,NA,NA,1.45116852682585,NA,8736414.83620598,8297206.1819278,6765887.29100277,5009327.18879999,5153139.50043636,4574650.49929428
143,314.2208,3.816542,NA,NA,0,NA,8722867.43017182,8607636.37996128,8900441.59192675,7999158.65108042,7797067.78951064,7943709.13497663
144,269.2488,2.287489,"C17H34O2","Heptadecanoic acid",2.2114357101789,NA,8194514.19204274,7616820.11906095,8591656.51355357,4756011.74841035,4954137.19545447,4403333.87166791
145,159.0847,2.725,"C8H16OS","2-Methyl-4-propyl-1,3-oxathiane",1.33111111497311,NA,9494342.0119326,8406354.35451509,8686688.78435123,6404547.02472145,6359010.3268428,5356415.96333724
146,310.2391,2.65952,NA,NA,3.69032725677073,NA,600750.518739268,503869.942506348,598545.088795026,7950729.04407102,8011976.58495022,7643246.81662384
147,386.2552,2.593095,NA,NA,3.33327615275876,NA,35066.8243152692,68230.5453299237,51372.0820848417,7778759.77700217,7817461.98001874,7577268.79343903
148,281.2682,2.480139,NA,NA,2.60574099252389,NA,9176580.05260474,7856076.48784655,8266112.37478674,3739714.90965668,3508162.67868722,3488181.82977422
149,427.9714,1.948697,NA,NA,2.37504789533688,NA,7454837.71012928,7491969.15648657,7242739.39774531,7545675.00515686,7718630.85249173,7910417.82975154
150,131.0349,11.66923,"C5H8O4","Monoethyl malonic acid",3.33510429011635,NA,4094467.92419081,3914781.79034343,4136698.06439416,7753063.68032211,7695617.20672317,7476920.95935898
152,300.2051,3.835562,NA,NA,0,NA,8030822.60642558,7524901.89058324,7677070.06988596,7624236.00393029,6977004.18430847,7226243.47688672
153,673.0722,1.836028,NA,NA,0,NA,8034217.16282868,7659764.93782663,8118154.88933322,7166259.83330877,7557335.79183056,7890587.36744758
154,333.1193,4.009242,"C15H18N4O5","Mitomycin",3.51570016065321,NA,7189892.80300723,8676678.41764663,6590201.90356513,413652.693032985,426827.518890465,402570.281487656
155,370.2601,2.594934,NA,NA,3.52711196623036,NA,164366.974660263,191258.826118353,231541.055540229,7541232.07945768,7302867.15749844,6776083.4013481
156,434.2663,2.475439,NA,NA,0,NA,4000565.07209574,3020730.86063413,3826889.22747254,7333791.89763984,4258324.58458624,2897224.1066804
157,157.994,13.45346,NA,NA,3.92716212533691,NA,8333878.12343768,8454087.36830232,8391773.1967891,1494047.74866142,1699671.39971755,1640035.59567333
158,142.9751,13.45706,NA,NA,2.55568970948774,NA,6307325.74938898,7690990.46032788,8487767.18016257,2247529.98493054,2242579.42312261,2061445.59646235
159,314.87705,13.74434,NA,NA,2.81707203076301,NA,777745.0450932,689484.300287323,550969.234147538,7375178.44682127,6311660.59187321,5176634.13885501
160,314.0783,2.43152,"C18H18ClNS","Chlorprothixene",0,NA,6054869.37564876,7309975.50996423,8397273.12907749,168294.935085515,821555.951315271,2742553.13166657
161,135.9451,2.038117,NA,NA,3.6030164917248,NA,7822737.61975467,7362049.90948826,8378384.56226596,354839.535627201,452781.155949684,369217.639909356
162,178.9632,13.77896,NA,NA,1.82707613637146,NA,5121261.7983703,5183158.86873585,4649824.905851,7198907.42043442,7437818.98848267,6085595.98726397
163,239.1291,2.13682,"C14H16N4","Imiquimod",3.49714971740602,NA,3498716.67125155,3424780.94141133,3670686.27544163,6763111.54054036,7256225.59489949,7103894.5171919
164,616.1796,2.312428,NA,NA,0,NA,7234310.41944389,7033469.47359456,7803333.6241939,6679436.12193031,6754902.15735827,5603377.184409
165,341.2697,2.168339,NA,NA,3.4956242985212,NA,369434.064202121,447157.062415129,485343.319690103,6086209.20457384,6822898.4426034,6259249.05212875
166,145.0142,12.78894,"C5H6O5","Oxoglutaric acid",3.05631756131443,NA,2750191.66828604,2868421.13343409,2929312.24401672,6946864.38512908,7088823.03661086,6175747.74965587
167,259.0224,14.04572,"C6H13O9P","Fructose 6-phosphate",1.85121231594369,NA,7722155.72477568,7323368.67384762,7560543.30142619,4262394.88185166,3379218.57518984,3159877.29271063
168,935.2374,2.260998,NA,NA,0,NA,7135333.34393173,6557415.29855531,7375121.12814037,5565871.83124473,5521013.52793438,5182416.723506
169,297.2436,2.352981,"C18H34O3","3-Oxooctadecanoic acid",2.79726654195456,NA,7532144.21934305,6999098.50264601,7240286.36589871,3529108.02253157,4024241.33751452,3856802.58603014
170,366.1088,11.67073,NA,NA,2.06347620452445,NA,5983599.1009728,5868015.24738188,6002001.65115009,6824785.98788011,6498551.58429533,6585217.15195393
