"ID","medMz","medRt","Formula","Metabolite","_log10_FDR","high_blank","nega-Ecoli-12C14N-a","nega-Ecoli-12C14N-b","nega-Ecoli-12C14N-c","nega-process-blank-A","nega-process-blank-A-end","nega-process-blank-B","nega-process-blank-B-end","nega-Yeast-12C14N-a","nega-Yeast-12C14N-b","nega-Yeast-12C14N-c"
4225,567.4055,2.246922,NA,NA,0,TRUE,22797.6505089764,60744.3820982088,43466.8298370362,98605.85,100264.4,83001.73,94419.23,65395.6576672382,72514.7904982347,61659.4182848399
4226,155.1078,2.577928,"C9H16O2","4-Hydroxynonenal",3.57116894861343,FALSE,150058.237537812,155103.132705802,137348.987226564,106563.7,246485.6,154837.6,244679,1214551.1009973,1138815.9236588,1106603.91342027
4227,403.2491,4.008809,"C24H36O5","7a,12a-Dihydroxy-3-oxo-4-cholenoic acid",0,TRUE,110836.727700406,119938.238441692,131373.689570944,150221.7,109048.6,132191.8,130338.6,117443.517382098,131377.877238032,118673.520731647
4228,325.1697,2.139768,NA,NA,0,TRUE,140743.725994127,135265.766155821,153407.620064538,136636.2,158964.2,160339.6,182298.7,100593.307314975,107429.141291204,94640.7768840563
4229,376.25205,2.500532,NA,NA,3.16494389827988,FALSE,193788.656862227,207851.810416503,186507.991891501,78702.46,104189.8,84022.01,82483.4,924485.612399518,910593.902149148,796599.367823638
4231,185.0057,2.169624,NA,NA,2.24388139829507,TRUE,181625.337258348,179229.178036128,175531.151207222,111589.9,179656,111336.4,169982.8,74232.1359976819,95848.1763909057,92935.2127384962
4233,443.31685,2.5076225,"C28H44O4","1-a,24R,25-Trihydroxyvitamin D2",2.43693442223973,TRUE,71490.4413178357,59954.7761115057,50287.6248798053,78485.34,96618.57,53732.42,57231.16,156501.674620749,154542.821982549,165890.873481973
4234,367.1918,2.485537,NA,NA,1.65257240138146,TRUE,87808.6832550758,93137.002772246,68065.1765778636,127928,151027.4,153550.5,142099,171984.304589189,167288.497406103,127595.811500767
4235,397.2598,2.477072,NA,NA,0,TRUE,122781.454374056,66644.4780322473,60750.4144615166,125764.2,145955.3,148995.7,135814.7,127698.21539047,139667.371330215,107014.490537799
4236,279.0911,2.06264,NA,NA,0,TRUE,32201.4925493462,60255.5025616075,70268.7653567962,57724.66,54605.71,27238.5,26994.18,26231.6593108947,48005.4445728053,57910.0238958024
4238,407.2475,1.901655,NA,NA,0,TRUE,148006.347010657,181698.3532178,143395.399960467,209373,203654.9,163790.8,184999.1,111273.696576517,150718.742487493,157918.857048006
4239,605.371,2.524077,NA,NA,0,TRUE,94740.026255544,118035.32654414,113981.812123126,97790.93,109556.8,73364.48,107608.8,110070.82335823,110331.495899591,144334.337623077
4240,589.3387,2.511858,NA,NA,0,TRUE,68271.176331546,86083.9680654474,81214.9852367251,120197.1,119883.9,98222.94,147142.7,86784.5957537457,132736.768993161,100908.729503073
4241,132.9941,5.51755,NA,NA,0,TRUE,169458.897971901,158476.324670265,152397.764205177,110086.8,758,103815.7,154,85696.5410025823,84161.5094410975,5244.70083909856
4242,930.1246,1.829263,NA,NA,0,TRUE,130522.677726506,130876.529706733,127173.876622081,150047.8,158045.2,134462,175083.2,113455.28409411,112652.531633323,100345.228708063
4243,281.0014,6.814945,NA,NA,0,TRUE,157244.587694337,127297.879382545,109659.88566828,155631,17280.78,197736.3,14444.98,76836.4925495991,61947.7889251707,72498.001453256
4244,312.1822,2.624408,NA,NA,1.71647263513831,TRUE,87279.7356970375,88136.068344855,77418.9623974937,81088.79,167194.7,93009.16,148393,126491.494736712,102942.998954624,130105.358004685
4245,239.0962,2.133018,NA,NA,0,TRUE,113568.81660248,107643.064533971,114523.330609141,128133.5,173597.7,112610.9,153695.1,97684.0048597481,109551.944462169,111216.000787729
4246,212.0751,3.831585,"C10H15NO2S","2-(4-Methyl-5-thiazolyl)ethyl butanoate",0,TRUE,86178.0359347065,71146.8669145686,82727.2462890444,73926.02,85823.23,75252.19,86835.8,71588.1325392934,75492.3585357361,72285.3734302427
