"ID","medMz","medRt","Formula","Metabolite","_log10_FDR","high_blank","artifact","log10_inten","mean_inten","nega-Ecoli-12C14N-a","nega-Ecoli-12C14N-b","nega-Ecoli-12C14N-c","nega-Yeast-12C14N-a","nega-Yeast-12C14N-b","nega-Yeast-12C14N-c","annotation"
785,151.0401,2.701815,"C8H8O3","p-Hydroxyphenylacetic acid",2.13185537591024,TRUE,"-H2O(1.90825559829544) of 5376",5.95033512950451,891938.95,1250688,1135163,1410116,436720.3,527594.7,591351.7,"C8H8O3_p-Hydroxyphenylacetic acid_2.701815"
11899,284.1224,2.701837,"C16H19N3S","Isothipendyl",0,TRUE,NA,4.62727774255157,42391.3983333333,40860.05,43729.27,37802.76,43098.02,45169.56,43688.73,"C16H19N3S_Isothipendyl_2.701837"
20073,444.649,2.702363,NA,NA,0,TRUE,NA,3.6436295496633,4401.79233333333,3591.182,1495,3224.439,2563.273,1748,13788.86,"444.649_2.702363"
20322,94.97045,2.7025275,NA,NA,0,TRUE,NA,4.02202407197191,10520.2018333333,14941.1,11354.58,9350.636,9493.049,7744.666,10237.18,"94.97045_2.7025275"
19272,591.9957,2.702548,NA,NA,2.14663037050482,TRUE,NA,3.93701081054606,8649.8945,17276.12,13213.07,15831.56,1246,2848.617,1484,"591.9957_2.702548"
1109,380.033,2.702665,NA,NA,0,TRUE,NA,5.65739977225941,454359.666666667,527094.4,701385.5,931246.8,17355.5,137573.3,411502.5,"380.033_2.702665"
13574,509.2969,2.70276,NA,NA,1.30882122265805,TRUE,NA,4.31504575536151,20655.9776666667,18495.99,44657.42,29197.88,9705.897,11953.58,9925.099,"509.2969_2.70276"
13640,420.1961,2.702789,NA,NA,0,TRUE,"13C(2.90288603677464) of 4390",4.22137633649592,16648.547,13908.97,7369.215,5034.977,21612.05,23207.6,28758.47,"artifact_420.1961_2.702789"
4252,341.2813,2.7029,NA,NA,1.88312671367275,TRUE,NA,4.86956025072123,74056,138669.2,127014.4,95349.91,35763.23,29279.02,18260.24,"341.2813_2.7029"
13444,461.2398,2.703053,"C22H38O10","Neryl rhamnosyl-glucoside",0,TRUE,NA,3.9780818190381,9507.839,10569.65,17274.43,8166.291,4095.155,9366.383,7575.125,"C22H38O10_Neryl rhamnosyl-glucoside_2.703053"
24948,429.3316,2.703174,NA,NA,0,TRUE,NA,3.47718595977706,3000.447,3980.737,1738,1316,4111.093,2113,4743.852,"429.3316_2.703174"
20235,160.9142,2.703192,NA,NA,0,TRUE,NA,3.8135476646947,6509.5005,6630.871,4851.738,7601.639,7600.82,5909.925,6462.01,"160.9142_2.703192"
18132,493.2289,2.703252,"C23H34N4O8","Ustiloxin D",0,TRUE,NA,4.25541799351023,18006.031,22783.13,17648.72,16801.37,16003.84,25226.93,9572.196,"C23H34N4O8_Ustiloxin D_2.703252"
2855,283.119,2.703697,"C14H20O6","2-Phenylethyl beta-D-glucopyranoside",0,TRUE,NA,5.4416009104807,276440.016666667,276876.3,274878.3,271587.3,275700.3,294109.2,265488.7,"C14H20O6_2-Phenylethyl beta-D-glucopyranoside_2.703697"
19243,528.296,2.703706,NA,NA,0,FALSE,NA,4.00659057919327,10152.911,32,2064,5430.906,23216.77,18163.91,12009.88,"528.296_2.703706"
3751,484.3129,2.703718,NA,NA,0,TRUE,NA,5.23010151719224,169864.066666667,170015.1,179314.2,148844.7,169652.2,181639.1,169719.1,"484.3129_2.703718"
