rt,mz,lg(signal),N,C,score,feature,adduct name,db_formula,id
3.919172,255.233,7.802254987,0,0,0,Background,,,2
2.409911,165.0408,7.758975007,0,0,0,Background,,,22
2.6365,165.0408,7.758975007,0,0,0,Background,,,23
13.94858,78.95876,7.75875461,0,0,0,Background,,,21
2.331539,227.2018,7.717822988,0,0,0,Background,,,24
2.262928,719.487,7.690360287,0,0,0,Background,,,26
3.8782,283.2644,7.650075247,0,0,0,Background,,,4
2.30345,679.1887,7.63970128,0,0,0,Background,,,28
2.431889,313.0789,7.632142842,0,0,0,Background,,,29
13.94544,292.9236,7.62406361,0,0,0,Background,,,30
2.472594,280.2648,7.616805818,0,0,0,Background,,,31
2.466339,340.2859,7.604723163,0,0,0,Background,,,32
1.896345,353.0101,7.58981341,0,0,0,Background,,,34
2.2941,743.2012,7.562625214,0,0,0,Background,,,33
1.871333,417.0226,7.558745251,0,0,0,Background,,,35
2.507028,223.0285,7.550813862,0,0,0,Background,,,36
2.846878,75.0084,7.547279411,0,0,0,Background,,,41
3.833978,313.2175,7.544803875,0,0,0,Background,,,40
1.902595,321.2106,7.536044808,0,0,0,Background,,,37
3.833978,299.2018,7.529906621,0,0,0,Background,,,42
2.315945,615.1763,7.513641685,0,0,0,Background,,,43
1.940084,266.1513,7.507469017,0,0,0,Background,,,44
1.871333,481.0349,7.494685456,0,0,0,Background,,,46
2.403639,205.1599,7.434324871,0,0,0,Background,,,47
13.47359,352.945,7.389400023,0,0,0,Background,,,53
2.28475,807.2134,7.375070352,0,0,0,Background,,,50
13.74995,194.9274,7.361870986,0,0,0,Background,,,51
1.908845,288.9977,7.36126972,0,0,0,Background,,,55
3.833978,301.2174,7.345196267,0,0,0,Background,,,57
1.908845,294.1828,7.343899666,0,0,0,Background,,,14188
3.944361,719.4866,7.339782548,0,0,0,Background,,,27
2.256695,720.4904,7.311255454,0,0,0,Background,,,63
4.013855,253.1447,7.292187133,0,0,0,Background,,,60
1.952583,325.1844,7.284385944,0,0,0,Background,,,65
2.139156,325.1846,7.284385944,0,0,0,Background,,,9839
1.858811,545.0473,7.279776954,0,0,0,Background,,,67
1.968211,311.1689,7.261413387,0,0,0,Background,,,68
13.89835,216.9284,7.230173205,0,0,0,Background,,,73
2.5039,240.0595,7.18205694,0,0,0,Background,,,77
2.535278,157.1234,7.164349268,0,0,0,Background,,,76
2.642758,157.1234,7.164349268,0,0,0,Background,,,9719
