rt,mz,lg(signal),N,C,score,feature,adduct name,db_formula,ID
13.37194,202.0123,5.23847,1,3,0.985370266,Adduct,H3PO4,,3388
13.36905,535.8972,4.027634922,1,5,0.937838835,Adduct,H3PO4,,10721
13.36868,675.8658,4.135662957,1,5,0.951828361,Adduct,H3PO4,,10900
13.36578,380.9591,4.668835567,2,5,0.849887982,Adduct,H3PO4,,8154
13.36577,479.912,4.831041506,1,5,0.984761441,Adduct,H3PO4,,6575
13.36577,533.8989,4.593417173,1,5,0.976897546,Adduct,H3PO4,,8536
13.36577,419.9486,4.028982478,1,5,0.959825521,Adduct,H3PO4,,11247
13.36576,363.9821,4.563105908,1,5,0.960399877,Adduct,H3PO4,,8364
13.36575,415.9226,4.599789134,1,5,0.979940593,Adduct,H3PO4,,8436
13.36575,294.999,4.019907114,0,5,0.941174385,Adduct,H3PO4,,10512
13.36573,560.9099,4.081148951,2,10,0.859750339,Adduct,H3PO4,,11543
13.36541,637.0587,3.825620983,2,13,0.881715664,Adduct,H3PO4,,11821
13.36217,299.9894,4.072018964,1,3,0.98067106,Adduct,H3PO4,,11342
13.36216,475.8572,4.306737818,1,5,0.974075681,Adduct,H3PO4,,10289
13.36214,539.0814,4.62679015,2,13,0.987191679,Adduct,H3PO4,,8227
13.36214,481.9101,4.342712556,1,5,0.96778806,Adduct,H3PO4,,10088
13.36211,364.956,4.223004322,2,4,0.765701876,Adduct,H3PO4,,1768
13.35884,421.9068,4.051364615,1,5,0.890391194,Adduct,H3PO4,,11676
13.35883,414.0938,5.577747799,1,8,0.994855995,Adduct,H3PO4,,1683
13.35557,504.9438,4.734783096,2,10,0.969795639,Adduct,H3PO4,,5882
13.35557,435.9221,5.105428145,1,5,0.984252155,Adduct,H3PO4,,2336
13.35233,604.8997,3.725331127,2,10,0.93222964,Adduct,H3PO4,,12767
13.35231,244.0228,6.071374442,1,5,0.995643097,Adduct,H3PO4,,682
13.33926,466.0038,4.640841939,3,10,0.937120159,Adduct,H3PO4,,8065
13.32613,438.9929,4.970822025,2,5,0.764642125,Adduct,H3PO4,,5021
13.30314,336.9615,5.029928004,2,5,0.773625866,Adduct,H3PO4,,4710
13.29659,341.0158,5.488131797,2,5,0.778845723,Adduct,H3PO4,,1986
13.29654,229.0231,5.244368703,2,4,0.842567016,Adduct,H3PO4,,4860
13.27961,243.0388,6.422754228,2,5,0.869431858,Adduct,H3PO4,,375
13.26621,325.042,4.575028745,2,5,0.833727291,Adduct,H3PO4,,8940
13.2364,411.0899,4.316730417,4,10,0.908203522,Adduct,H3PO4,,10393
12.76102,186.0173,4.880298933,1,3,0.860920611,Adduct,H3PO4,,6267
7.0119,249.0379,4.28593575,0,3,0.860162652,Adduct,H3PO4,,11512
6.382978,249.0381,4.346318715,0,3,0.892702744,Adduct,H3PO4,,11513
11.64142,419.0861,4.363229674,0,12,0.939789433,Adduct,H4O4Si,,7341
11.40857,462.097,4.420450898,0,12,0.893020734,Adduct,H4O4Si,,9372
10.52359,276.0545,3.903600825,1,9,0.995621832,Adduct,H4O4Si,,12951
8.659434,288.9861,4.044574607,0,3,0.983099129,Adduct,H4O4Si,,12368
2.493928,377.2337,6.099361505,0,18,0.986309257,Adduct,H4O4Si,,9070
2.327606,349.2057,6.120405128,0,16,0.882768309,Adduct,H4O4Si,,540
2.280884,377.2365,6.099361505,0,18,0.986300916,Adduct,H4O4Si,,587
14.12384,122.9853,4.528605042,0,2,0.969874986,Adduct,HCl,,8993
14.01257,310.9533,3.809077198,0,6,0.768677583,Adduct,HCl,,12319
12.08804,228.0362,3.982534489,0,5,0.828445486,Adduct,HCl,,12745
11.55355,215.0328,6.787098357,0,6,0.979616577,Adduct,HCl,,191
9.576289,187.0378,3.725392195,0,5,0.959465358,Adduct,HCl,,13457
7.325623,279.0389,4.804365192,2,9,0.900881414,Adduct,HCl,,7159
7.025305,171.0427,3.745748677,0,5,0.789701572,Adduct,HCl,,10281
6.942101,336.1699,4.109250335,3,14,0.918897123,Adduct,HCl,,11041
6.91555,426.1479,3.940074272,3,16,0.820763344,Adduct,HCl,,12088
6.167695,263.0442,4.684803341,2,9,0.934215479,Adduct,HCl,,7968
2.478261,378.25,4.478396636,0,18,0.838075738,Adduct,HCl,,8299
13.99603,317.028,3.671797295,0,18,0.879213253,Adduct,HCOH,,13379
11.55353,509.275,4.31535653,0,6,0.928180812,Adduct,HCOH,,8503
8.786511,187.0724,4.206223214,2,6,0.867863134,Adduct,HCOH,,642
7.100528,243.0276,5.73636365,0,6,0.824904715,Adduct,HCOH,,1284
4.204584,792.5396,4.598668661,2,39,0.927502829,Adduct,HCOH,,8453
14.62605,387.1146,4.422831784,0,12,0.893391362,Adduct,HCOOH,,5725
14.1271,228.0644,4.872965039,1,5,0.969583386,Adduct,HCOOH,,6181
13.45729,409.0017,4.329783274,2,5,0.815758702,Adduct,HCOOH,,10508
13.34943,230.0072,4.928021901,1,5,0.986999613,Adduct,HCOOH,,5618
11.89846,224.0776,4.579591148,0,6,0.9747095,Adduct,HCOOH,,8118
11.68845,207.0509,5.775668658,0,6,0.952326459,Adduct,HCOOH,,1119
11.61945,225.0616,6.894382083,0,6,0.992853117,Adduct,HCOOH,,152
11.61632,223.0459,5.178230568,0,6,0.980713218,Adduct,HCOOH,,3287
8.471612,249.0881,3.43552703,2,11,0.942987229,Adduct,HCOOH,,14489
